producto_id,tienda_id,fecha,stock_actual,stock_minimo,stock_seguridad,unidades_vendidas,unidades_recibidas
3480,1,2024-09-15,92,40,16,19,0
2272,1,2024-09-15,87,40,16,9,0
3251,1,2024-09-15,35,20,8,8,0
3747,1,2024-09-15,159,40,16,5,0
2552,1,2024-09-15,50,20,8,22,0
2797,1,2024-09-15,101,30,12,20,0
2083,1,2024-09-15,96,50,20,1,0
2054,1,2024-09-15,85,20,8,45,0
3768,1,2024-09-15,93,30,12,15,0
3216,1,2024-09-15,4,40,16,9,100
2132,1,2024-09-15,146,40,16,1,0
2998,1,2024-09-15,58,20,8,14,0
3253,1,2024-09-15,88,30,12,2,0
2458,1,2024-09-15,92,20,8,1,0
2919,1,2024-09-15,151,50,20,21,0
3204,1,2024-09-15,109,50,20,35,50
2942,1,2024-09-15,117,40,16,12,300
3075,1,2024-09-15,106,20,8,1,150
2576,1,2024-09-15,105,50,20,2,0
2392,1,2024-09-15,156,50,20,6,0
3660,1,2024-09-15,151,40,16,12,100
2794,1,2024-09-15,112,30,12,48,0
3436,1,2024-09-15,44,50,20,19,0
3055,1,2024-09-15,37,30,12,30,0
2075,1,2024-09-15,41,20,8,40,0
3178,1,2024-09-15,72,20,8,99,0
2039,1,2024-09-15,64,20,8,25,100
2773,1,2024-09-15,309,75,30,5,0
3823,1,2024-09-15,0,30,12,16,0
2345,1,2024-09-15,76,30,12,31,0
2753,1,2024-09-15,20,30,12,28,0
2776,1,2024-09-15,126,50,20,7,0
2518,1,2024-09-15,87,50,20,5,0
2717,1,2024-09-15,56,30,12,0,0
2510,1,2024-09-15,4,30,12,1,0
2403,1,2024-09-15,158,100,40,4,0
2045,1,2024-09-15,123,30,12,6,0
3748,1,2024-09-15,103,20,8,67,0
2265,1,2024-09-15,60,20,8,8,0
3771,1,2024-09-15,79,30,12,3,0
2428,1,2024-09-15,76,20,8,7,200
2904,1,2024-09-15,611,100,40,2,0
2789,1,2024-09-15,91,20,8,12,0
3803,1,2024-09-15,137,40,16,10,0
2305,1,2024-09-15,88,30,12,15,100
3282,1,2024-09-15,112,50,20,15,0
3005,1,2024-09-15,78,30,12,40,0
2605,1,2024-09-15,101,30,12,7,0
2077,1,2024-09-15,129,20,8,45,0
2001,1,2024-09-15,196,30,12,19,0
2479,1,2024-09-15,231,75,30,7,300
3596,1,2024-09-15,176,75,30,1,0
3409,1,2024-09-15,169,50,20,36,0
2107,1,2024-09-15,87,40,16,9,0
2125,1,2024-09-15,179,40,16,30,0
3597,1,2024-09-15,52,20,8,11,0
2670,1,2024-09-15,106,30,12,12,0
2530,1,2024-09-15,82,20,8,13,0
2233,1,2024-09-15,111,50,20,6,50
3776,1,2024-09-15,97,40,16,11,0
3033,1,2024-09-15,99,30,12,5,0
2177,1,2024-09-15,46,30,12,13,0
3420,1,2024-09-15,143,50,20,2,0
2288,1,2024-09-15,129,40,16,4,0
2155,1,2024-09-15,448,100,40,14,0
3514,1,2024-09-15,199,40,16,12,0
3616,1,2024-09-15,25,50,20,23,0
2508,1,2024-09-15,151,40,16,8,0
2127,1,2024-09-15,108,20,8,12,0
3788,1,2024-09-15,53,20,8,60,0
2213,1,2024-09-15,182,50,20,3,0
3386,1,2024-09-15,176,40,16,8,0
3654,1,2024-09-15,109,40,16,0,0
2216,1,2024-09-15,0,30,12,6,0
3839,1,2024-09-15,258,100,40,17,0
2020,1,2024-09-15,124,40,16,3,0
3300,1,2024-09-15,181,40,16,12,0
2688,1,2024-09-15,88,30,12,0,0
2847,1,2024-09-15,163,40,16,26,0
2341,1,2024-09-15,97,30,12,1,0
2762,1,2024-09-15,257,40,16,2,0
3262,1,2024-09-15,79,20,8,27,0
3649,1,2024-09-15,185,40,16,25,0
3577,1,2024-09-15,174,40,16,15,0
2844,1,2024-09-15,50,30,12,8,0
3571,1,2024-09-15,193,40,16,14,0
2943,1,2024-09-15,92,30,12,30,0
2024,1,2024-09-15,126,20,8,10,0
3841,1,2024-09-15,151,100,40,1,0
3613,1,2024-09-15,112,50,20,9,0
2939,1,2024-09-15,86,30,12,4,0
3020,1,2024-09-15,44,30,12,0,0
3280,1,2024-09-15,172,50,20,3,0
2729,1,2024-09-15,4,20,8,7,50
3706,1,2024-09-15,177,40,16,2,0
3702,1,2024-09-15,60,30,12,4,0
2422,1,2024-09-15,94,50,20,9,0
3250,1,2024-09-15,174,40,16,14,0
2558,1,2024-09-15,96,30,12,2,0
2330,1,2024-09-15,177,50,20,4,0
2598,1,2024-09-15,151,50,20,32,0
2934,1,2024-09-15,175,30,12,14,0
2744,1,2024-09-15,53,20,8,24,0
2413,1,2024-09-15,31,40,16,126,0
2966,1,2024-09-15,142,40,16,1,0
3838,1,2024-09-15,18,20,8,7,0
2743,1,2024-09-15,178,50,20,2,0
2780,1,2024-09-15,141,30,12,20,0
2676,1,2024-09-15,23,30,12,4,0
3629,1,2024-09-15,421,100,40,2,0
3107,1,2024-09-15,207,50,20,9,0
2526,1,2024-09-15,206,40,16,5,0
3110,1,2024-09-15,85,40,16,11,0
2742,1,2024-09-15,36,20,8,3,0
3162,1,2024-09-15,34,50,20,9,0
3560,1,2024-09-15,61,40,16,1,0
2201,1,2024-09-15,244,50,20,48,0
2514,1,2024-09-15,207,50,20,0,0
2022,1,2024-09-15,107,50,20,7,0
2768,1,2024-09-15,0,75,30,9,300
3550,1,2024-09-15,77,40,16,10,0
3515,1,2024-09-15,315,75,30,4,0
2241,1,2024-09-15,54,40,16,14,0
2160,1,2024-09-15,168,50,20,21,100
3086,1,2024-09-15,263,75,30,35,0
3600,1,2024-09-15,23,20,8,14,0
2561,1,2024-09-15,219,100,40,10,0
2913,1,2024-09-15,129,50,20,42,0
2141,1,2024-09-15,83,30,12,44,0
3622,1,2024-09-15,58,30,12,5,50
2085,1,2024-09-15,113,50,20,7,0
2550,1,2024-09-15,234,50,20,2,50
2834,1,2024-09-15,85,40,16,3,300
3488,1,2024-09-15,100,40,16,4,300
2757,1,2024-09-15,130,30,12,12,0
2611,1,2024-09-15,154,50,20,5,0
3553,1,2024-09-15,93,20,8,9,0
3382,1,2024-09-15,82,40,16,1,0
3105,1,2024-09-15,109,40,16,2,150
2940,1,2024-09-15,372,75,30,21,0
3139,1,2024-09-15,59,20,8,4,0
3071,1,2024-09-15,1,30,12,8,0
3333,1,2024-09-15,68,40,16,0,0
3572,1,2024-09-15,100,20,8,17,0
2228,1,2024-09-15,110,50,20,17,0
2033,1,2024-09-15,209,100,40,9,100
3421,1,2024-09-15,61,75,30,26,0
2396,1,2024-09-15,128,40,16,1,0
2788,1,2024-09-15,56,20,8,59,0
2207,1,2024-09-15,120,40,16,28,0
2809,1,2024-09-15,180,40,16,36,0
2623,1,2024-09-15,47,30,12,3,150
2028,1,2024-09-15,111,40,16,0,0
2170,1,2024-09-15,182,50,20,0,300
3719,1,2024-09-15,152,50,20,4,0
3461,1,2024-09-15,16,20,8,3,0
2103,1,2024-09-15,108,50,20,16,0
2573,1,2024-09-15,466,100,40,2,0
2192,1,2024-09-15,208,40,16,17,0
3509,1,2024-09-15,128,30,12,6,0
3521,1,2024-09-15,117,30,12,15,0
2725,1,2024-09-15,348,50,20,8,0
2157,1,2024-09-15,203,50,20,16,0
2309,1,2024-09-15,419,75,30,0,0
3504,1,2024-09-15,165,50,20,22,0
2679,1,2024-09-15,86,50,20,14,0
2188,1,2024-09-15,227,75,30,45,0
2721,1,2024-09-15,88,20,8,30,0
3242,1,2024-09-15,236,75,30,8,0
3537,1,2024-09-15,42,20,8,12,0
3637,1,2024-09-15,193,50,20,1,100
3791,1,2024-09-15,117,30,12,18,0
2799,1,2024-09-15,26,30,12,6,0
2324,1,2024-09-15,115,20,8,11,0
2284,1,2024-09-15,156,30,12,34,0
3531,1,2024-09-15,122,20,8,5,0
2984,1,2024-09-15,197,50,20,16,0
2196,1,2024-09-15,84,30,12,0,0
2101,1,2024-09-15,118,50,20,1,0
3459,1,2024-09-15,35,20,8,1,0
3414,1,2024-09-15,46,20,8,16,0
3316,1,2024-09-15,131,30,12,21,0
3655,1,2024-09-15,61,50,20,2,0
2908,1,2024-09-15,333,75,30,11,150
2874,1,2024-09-15,48,20,8,3,0
2480,1,2024-09-15,109,50,20,1,0
2997,1,2024-09-15,190,50,20,21,0
2711,1,2024-09-15,439,75,30,36,150
2883,1,2024-09-15,18,50,20,23,0
3025,1,2024-09-15,209,40,16,7,50
2448,1,2024-09-15,148,40,16,3,0
2824,1,2024-09-15,58,30,12,8,50
3168,1,2024-09-15,137,40,16,33,0
3558,1,2024-09-15,124,30,12,4,0
3735,1,2024-09-15,73,30,12,2,0
3525,1,2024-09-15,94,20,8,18,50
3014,1,2024-09-15,109,30,12,16,100
2293,1,2024-09-15,272,75,30,9,0
3019,1,2024-09-15,80,30,12,3,0
3575,1,2024-09-15,294,100,40,2,0
2704,1,2024-09-15,101,30,12,2,0
3501,1,2024-09-15,9,40,16,8,0
2466,1,2024-09-15,89,30,12,16,0
2417,1,2024-09-15,150,50,20,67,0
2751,1,2024-09-15,4,40,16,41,0
2567,1,2024-09-15,150,40,16,8,100
3569,1,2024-09-15,43,40,16,4,100
3784,1,2024-09-15,420,100,40,8,0
3324,1,2024-09-15,214,50,20,5,200
2664,1,2024-09-15,69,30,12,7,0
2702,1,2024-09-15,355,75,30,13,150
2856,1,2024-09-15,184,30,12,17,300
2405,1,2024-09-15,90,20,8,28,50
3578,1,2024-09-15,94,20,8,50,0
3464,1,2024-09-15,81,20,8,4,0
2636,1,2024-09-15,108,20,8,3,0
2590,1,2024-09-15,88,75,30,32,150
2359,1,2024-09-15,61,20,8,24,0
2497,1,2024-09-15,272,50,20,12,0
3639,1,2024-09-15,5,20,8,0,0
3102,1,2024-09-15,166,30,12,13,0
3103,1,2024-09-15,84,40,16,2,0
3715,1,2024-09-15,39,30,12,67,300
2900,1,2024-09-15,234,50,20,22,50
2433,1,2024-09-15,123,75,30,14,50
2684,1,2024-09-15,464,100,40,28,200
2123,1,2024-09-15,185,75,30,6,0
2230,1,2024-09-15,84,30,12,1,0
2690,1,2024-09-15,305,75,30,19,0
2052,1,2024-09-15,287,100,40,12,0
2237,1,2024-09-15,122,30,12,19,0
2926,1,2024-09-15,21,30,12,13,0
2056,1,2024-09-15,57,20,8,17,0
2445,1,2024-09-15,156,50,20,0,0
2124,1,2024-09-15,237,75,30,7,0
2983,1,2024-09-15,85,50,20,1,0
3062,1,2024-09-15,528,75,30,3,0
3221,1,2024-09-15,264,75,30,9,0
2222,1,2024-09-15,134,40,16,8,0
3126,1,2024-09-15,78,20,8,31,0
3278,1,2024-09-15,57,30,12,6,0
2857,1,2024-09-15,308,40,16,26,0
2600,1,2024-09-15,34,30,12,14,0
2718,1,2024-09-15,284,50,20,0,0
3274,1,2024-09-15,231,50,20,3,0
3310,1,2024-09-15,38,40,16,2,150
2442,1,2024-09-15,57,30,12,0,100
3627,1,2024-09-15,31,20,8,4,0
3518,1,2024-09-15,89,30,12,16,0
2994,1,2024-09-15,154,50,20,19,0
2618,1,2024-09-15,167,50,20,1,0
3526,1,2024-09-15,119,30,12,9,0
3016,1,2024-09-15,54,20,8,1,0
2432,1,2024-09-15,23,40,16,20,0
2898,1,2024-09-15,117,40,16,37,0
3027,1,2024-09-15,103,40,16,30,0
2450,1,2024-09-15,135,50,20,2,0
2527,1,2024-09-15,64,20,8,6,0
2905,1,2024-09-15,22,20,8,0,0
3059,1,2024-09-15,15,40,16,1,0
2219,1,2024-09-15,99,30,12,0,0
3040,1,2024-09-15,130,20,8,15,0
2069,1,2024-09-15,61,30,12,21,0
2268,1,2024-09-15,74,40,16,26,0
2310,1,2024-09-15,118,40,16,8,0
2976,1,2024-09-15,69,30,12,6,0
2892,1,2024-09-15,42,50,20,5,0
3385,1,2024-09-15,140,40,16,0,50
2602,1,2024-09-15,248,100,40,42,0
3584,1,2024-09-15,91,20,8,19,0
3111,1,2024-09-15,178,50,20,17,100
2040,1,2024-09-15,83,30,12,14,0
2312,1,2024-09-15,-4,100,40,2,0
3692,1,2024-09-15,26,50,20,7,0
2443,1,2024-09-15,114,50,20,13,0
3099,1,2024-09-15,150,40,16,1,0
2726,1,2024-09-15,107,30,12,9,0
3539,1,2024-09-15,203,50,20,4,0
2119,1,2024-09-15,83,50,20,2,100
3721,1,2024-09-15,159,40,16,14,0
3523,1,2024-09-15,86,30,12,9,150
3671,1,2024-09-15,43,30,12,25,0
2006,1,2024-09-15,116,30,12,20,0
3709,1,2024-09-15,91,40,16,5,150
3551,1,2024-09-15,172,100,40,44,0
3100,1,2024-09-15,326,75,30,3,0
2829,1,2024-09-15,64,30,12,27,0
3279,1,2024-09-15,137,75,30,4,0
2468,1,2024-09-15,251,100,40,30,0
3306,1,2024-09-15,222,40,16,4,0
2620,1,2024-09-15,221,100,40,19,0
3131,1,2024-09-15,25,40,16,34,0
3150,1,2024-09-15,60,30,12,11,0
3151,1,2024-09-15,69,30,12,0,0
2303,1,2024-09-15,83,50,20,25,50
3678,1,2024-09-15,136,40,16,51,0
2215,1,2024-09-15,307,100,40,26,100
3202,1,2024-09-15,71,30,12,4,0
2113,1,2024-09-15,203,50,20,22,0
3013,1,2024-09-15,182,50,20,3,0
3605,1,2024-09-15,193,40,16,13,100
2008,1,2024-09-15,120,40,16,36,0
3048,1,2024-09-15,76,30,12,21,150
3634,1,2024-09-15,186,30,12,4,150
2631,1,2024-09-15,94,20,8,53,0
2685,1,2024-09-15,197,50,20,7,0
2531,1,2024-09-15,23,30,12,2,0
3432,1,2024-09-15,93,50,20,4,0
2494,1,2024-09-15,93,50,20,4,0
2009,1,2024-09-15,120,40,16,10,0
3798,1,2024-09-15,148,40,16,4,0
2193,1,2024-09-15,83,30,12,8,300
2307,1,2024-09-15,101,40,16,2,0
3179,1,2024-09-15,271,75,30,8,0
3136,1,2024-09-15,153,30,12,15,0
2572,1,2024-09-15,28,30,12,11,0
3808,1,2024-09-15,111,30,12,12,100
2295,1,2024-09-15,57,30,12,46,0
3701,1,2024-09-15,57,40,16,1,0
2659,1,2024-09-15,91,30,12,0,0
2314,1,2024-09-15,51,40,16,9,0
2767,1,2024-09-15,90,30,12,15,0
2863,1,2024-09-15,35,30,12,44,0
3555,1,2024-09-15,89,50,20,3,0
3058,1,2024-09-15,36,20,8,5,0
3243,1,2024-09-15,240,50,20,23,0
2005,1,2024-09-15,47,20,8,10,300
3793,1,2024-09-15,332,100,40,1,0
3144,1,2024-09-15,58,40,16,43,0
2202,1,2024-09-15,131,30,12,7,0
2708,1,2024-09-15,59,20,8,15,0
3030,1,2024-09-15,74,30,12,15,0
3404,1,2024-09-15,164,100,40,18,0
2580,1,2024-09-15,0,50,20,39,0
2032,1,2024-09-15,137,30,12,0,0
3097,1,2024-09-15,221,75,30,70,0
3108,1,2024-09-15,84,50,20,15,0
2750,1,2024-09-15,21,20,8,5,0
2906,1,2024-09-15,41,20,8,2,0
3345,1,2024-09-15,109,30,12,35,0
2159,1,2024-09-15,10,20,8,49,0
3581,1,2024-09-15,131,75,30,22,0
2194,1,2024-09-15,57,40,16,15,0
3835,1,2024-09-15,106,30,12,11,0
2047,1,2024-09-15,125,40,16,19,0
2404,1,2024-09-15,117,50,20,41,0
3631,1,2024-09-15,46,20,8,6,0
2914,1,2024-09-15,0,30,12,19,0
2464,1,2024-09-15,273,50,20,14,0
3003,1,2024-09-15,118,50,20,7,0
3272,1,2024-09-15,39,50,20,11,0
3434,1,2024-09-15,94,40,16,24,0
3847,1,2024-09-15,57,30,12,10,0
3424,1,2024-09-15,91,50,20,23,50
2262,1,2024-09-15,229,50,20,8,0
3200,1,2024-09-15,350,75,30,9,0
3326,1,2024-09-15,102,30,12,9,0
3230,1,2024-09-15,72,20,8,10,0
2566,1,2024-09-15,26,40,16,8,0
2358,1,2024-09-15,31,20,8,2,0
2887,1,2024-09-15,27,20,8,20,0
2481,1,2024-09-15,439,100,40,5,0
2740,1,2024-09-15,114,40,16,10,0
2758,1,2024-09-15,116,50,20,23,300
2686,1,2024-09-15,86,20,8,2,150
3659,1,2024-09-15,23,40,16,12,100
3567,1,2024-09-15,95,30,12,45,0
2181,1,2024-09-15,72,30,12,5,0
2511,1,2024-09-15,165,30,12,3,0
2929,1,2024-09-15,195,75,30,35,0
3667,1,2024-09-15,141,30,12,6,0
2981,1,2024-09-15,145,40,16,17,0
2700,1,2024-09-15,94,50,20,0,0
2505,1,2024-09-15,33,20,8,0,100
3541,1,2024-09-15,338,75,30,34,0
2805,1,2024-09-15,133,30,12,4,0
3287,1,2024-09-15,188,40,16,8,0
3288,1,2024-09-15,203,40,16,36,0
2274,1,2024-09-15,66,30,12,50,0
3780,1,2024-09-15,160,50,20,24,0
2832,1,2024-09-15,125,30,12,25,0
3540,1,2024-09-15,206,50,20,7,100
2173,1,2024-09-15,111,40,16,8,0
2271,1,2024-09-15,50,20,8,0,0
2613,1,2024-09-15,51,40,16,13,0
3137,1,2024-09-15,124,40,16,10,0
2339,1,2024-09-15,179,30,12,15,300
3322,1,2024-09-15,143,40,16,3,0
3604,1,2024-09-15,288,50,20,0,0
2163,1,2024-09-15,58,20,8,14,0
2666,1,2024-09-15,114,30,12,41,0
2176,1,2024-09-15,187,30,12,3,0
2848,1,2024-09-15,0,50,20,40,0
3210,1,2024-09-15,208,50,20,0,0
2055,1,2024-09-15,90,50,20,1,0
3352,1,2024-09-15,66,40,16,9,0
3674,1,2024-09-15,24,20,8,12,0
3313,1,2024-09-15,24,20,8,5,0
3138,1,2024-09-15,150,40,16,8,0
2724,1,2024-09-15,280,50,20,15,0
3076,1,2024-09-15,321,50,20,16,0
3636,1,2024-09-15,68,30,12,8,0
3836,1,2024-09-15,94,75,30,17,0
2313,1,2024-09-15,47,30,12,10,0
2822,1,2024-09-15,573,100,40,38,0
2570,1,2024-09-15,121,20,8,0,150
2179,1,2024-09-15,35,20,8,10,0
3083,1,2024-09-15,57,40,16,14,0
3754,1,2024-09-15,51,30,12,14,0
3119,1,2024-09-15,78,30,12,0,0
3128,1,2024-09-15,146,30,12,6,0
3739,1,2024-09-15,25,40,16,23,0
2891,1,2024-09-15,107,30,12,34,0
3246,1,2024-09-15,167,30,12,2,0
2628,1,2024-09-15,48,30,12,22,0
3177,1,2024-09-15,84,30,12,7,100
2234,1,2024-09-15,0,30,12,12,0
3222,1,2024-09-15,302,75,30,32,0
2116,1,2024-09-15,170,50,20,5,0
3646,1,2024-09-15,136,30,12,0,50
3503,1,2024-09-15,218,50,20,33,0
3632,1,2024-09-15,210,40,16,7,0
3805,1,2024-09-15,434,100,40,11,0
3123,1,2024-09-15,208,40,16,44,0
3337,1,2024-09-15,75,50,20,74,50
2231,1,2024-09-15,83,50,20,52,0
2050,1,2024-09-15,254,75,30,2,0
2640,1,2024-09-15,44,40,16,1,0
3726,1,2024-09-15,116,50,20,15,0
3215,1,2024-09-15,25,40,16,3,300
3402,1,2024-09-15,95,30,12,12,0
2148,1,2024-09-15,53,20,8,14,0
2081,1,2024-09-15,155,40,16,7,0
2315,1,2024-09-15,297,100,40,15,50
2232,1,2024-09-15,119,40,16,5,0
2964,1,2024-09-15,110,50,20,2,0
3234,1,2024-09-15,89,75,30,21,0
2013,1,2024-09-15,157,40,16,7,150
2111,1,2024-09-15,96,30,12,3,0
2439,1,2024-09-15,112,30,12,5,0
3191,1,2024-09-15,151,30,12,8,0
2351,1,2024-09-15,190,40,16,24,50
3271,1,2024-09-15,80,30,12,10,150
3072,1,2024-09-15,94,30,12,2,150
2760,1,2024-09-15,158,30,12,14,200
3794,1,2024-09-15,73,30,12,20,0
3264,1,2024-09-15,131,40,16,10,0
3505,1,2024-09-15,0,40,16,0,0
3679,1,2024-09-15,24,20,8,10,0
2461,1,2024-09-15,80,30,12,18,200
2819,1,2024-09-15,64,30,12,0,100
2665,1,2024-09-15,269,50,20,40,0
3759,1,2024-09-15,117,30,12,15,0
2371,1,2024-09-15,43,20,8,23,0
2221,1,2024-09-15,32,50,20,2,0
2915,1,2024-09-15,215,75,30,49,100
2318,1,2024-09-15,203,50,20,5,0
3708,1,2024-09-15,157,40,16,16,50
3255,1,2024-09-15,66,20,8,2,100
2254,1,2024-09-15,0,50,20,15,100
2982,1,2024-09-15,69,30,12,5,300
2316,1,2024-09-15,97,30,12,2,0
3334,1,2024-09-15,149,40,16,16,0
3182,1,2024-09-15,116,30,12,2,0
2818,1,2024-09-15,124,40,16,6,0
3493,1,2024-09-15,87,50,20,34,0
2681,1,2024-09-15,150,40,16,2,0
2880,1,2024-09-15,156,40,16,29,0
2400,1,2024-09-15,47,20,8,18,0
3238,1,2024-09-15,286,100,40,22,0
3753,1,2024-09-15,80,20,8,8,0
2594,1,2024-09-15,99,50,20,87,0
2585,1,2024-09-15,31,40,16,10,0
2482,1,2024-09-15,189,50,20,22,0
2058,1,2024-09-15,99,20,8,9,0
3164,1,2024-09-15,38,20,8,11,0
2961,1,2024-09-15,77,20,8,1,0
3399,1,2024-09-15,175,50,20,1,0
2584,1,2024-09-15,88,50,20,3,0
2968,1,2024-09-15,61,30,12,5,0
2002,1,2024-09-15,65,30,12,5,0
3273,1,2024-09-15,112,40,16,0,0
3628,1,2024-09-15,134,40,16,4,0
3429,1,2024-09-15,152,30,12,21,0
2960,1,2024-09-15,59,20,8,6,0
3364,1,2024-09-15,93,30,12,10,0
3552,1,2024-09-15,121,75,30,0,0
2761,1,2024-09-15,54,20,8,2,0
2589,1,2024-09-15,109,30,12,6,0
2963,1,2024-09-15,273,75,30,5,50
3433,1,2024-09-15,100,100,40,13,200
2783,1,2024-09-15,28,50,20,6,0
3423,1,2024-09-15,115,20,8,2,0
2352,1,2024-09-15,70,20,8,0,0
3680,1,2024-09-15,115,40,16,48,0
2639,1,2024-09-15,128,30,12,18,0
3663,1,2024-09-15,161,50,20,5,0
2322,1,2024-09-15,187,40,16,37,150
3176,1,2024-09-15,72,20,8,38,0
2246,1,2024-09-15,122,30,12,0,0
2444,1,2024-09-15,24,20,8,9,50
3012,1,2024-09-15,33,20,8,2,0
2419,1,2024-09-15,53,50,20,38,0
3698,1,2024-09-15,186,50,20,6,0
2814,1,2024-09-15,230,50,20,34,0
2261,1,2024-09-15,256,40,16,23,0
2118,1,2024-09-15,186,50,20,13,200
2995,1,2024-09-15,98,20,8,19,150
2669,1,2024-09-15,97,20,8,16,0
2504,1,2024-09-15,168,40,16,4,0
3579,1,2024-09-15,79,20,8,36,0
2556,1,2024-09-15,77,50,20,25,0
2722,1,2024-09-15,255,75,30,5,0
2695,1,2024-09-15,93,100,40,8,0
3796,1,2024-09-15,209,40,16,0,0
3415,1,2024-09-15,79,30,12,12,0
2115,1,2024-09-15,112,75,30,0,0
3447,1,2024-09-15,203,50,20,11,100
2927,1,2024-09-15,82,50,20,14,0
3010,1,2024-09-15,127,30,12,5,50
3519,1,2024-09-15,39,40,16,2,0
2895,1,2024-09-15,54,30,12,12,0
2211,1,2024-09-15,162,40,16,7,0
2186,1,2024-09-15,126,30,12,3,0
3712,1,2024-09-15,139,50,20,45,0
2304,1,2024-09-15,37,20,8,33,0
3080,1,2024-09-15,0,75,30,11,0
2117,1,2024-09-15,31,40,16,9,0
3453,1,2024-09-15,29,50,20,49,0
2478,1,2024-09-15,135,50,20,4,0
3039,1,2024-09-15,70,30,12,18,0
2447,1,2024-09-15,127,40,16,22,0
3751,1,2024-09-15,113,30,12,9,0
2378,1,2024-09-15,42,30,12,0,0
2917,1,2024-09-15,167,50,20,13,0
2747,1,2024-09-15,203,50,20,35,0
3657,1,2024-09-15,165,40,16,22,100
2078,1,2024-09-15,90,50,20,13,0
3351,1,2024-09-15,122,30,12,28,0
2168,1,2024-09-15,95,30,12,3,0
3009,1,2024-09-15,127,50,20,1,0
3458,1,2024-09-15,45,30,12,19,0
2896,1,2024-09-15,176,50,20,1,0
2156,1,2024-09-15,488,100,40,22,0
2053,1,2024-09-15,82,30,12,2,0
2855,1,2024-09-15,51,30,12,15,0
2778,1,2024-09-15,150,40,16,4,300
3398,1,2024-09-15,15,30,12,8,0
2547,1,2024-09-15,70,20,8,7,200
3063,1,2024-09-15,64,20,8,71,50
2073,1,2024-09-15,56,30,12,8,0
2705,1,2024-09-15,352,75,30,14,0
3755,1,2024-09-15,132,50,20,12,0
3024,1,2024-09-15,72,20,8,6,0
3133,1,2024-09-15,143,40,16,1,0
