linea_id,pedido_id,producto_id,cantidad,precio_unitario,descuento_pct,total_linea
9000066,5000028,2229,2,13.54,0.0,27.08
9000067,5000029,2690,1,5.65,0.0,5.65
9000068,5000029,2369,2,21.05,5.0,39.99
9000069,5000030,2494,2,0.51,25.0,0.77
9000070,5000030,2110,3,11.88,0.0,35.64
9000071,5000030,2006,1,4.66,0.0,4.66
9000072,5000030,2241,2,8.37,0.0,16.74
9000073,5000030,2007,2,2.51,0.0,5.02
9000074,5000030,2336,1,16.14,0.0,16.14
9000075,5000031,2072,1,1.36,0.0,1.36
9000076,5000031,2242,1,24.56,25.0,18.42
9000077,5000031,2305,2,19.22,5.0,36.52
9000078,5000031,2850,4,3.18,5.0,12.08
9000079,5000031,2217,1,24.22,0.0,24.22
9000080,5000031,2037,1,0.89,15.0,0.76
9000081,5000032,2039,1,1.91,0.0,1.91
9000082,5000032,2342,2,14.18,0.0,28.36
9000083,5000033,2296,2,2.28,10.0,4.1
9000084,5000033,2298,2,13.11,0.0,26.22
9000085,5000034,3731,4,1.34,0.0,5.36
9000086,5000034,2769,1,19.83,0.0,19.83
9000087,5000035,2082,1,8.87,0.0,8.87
9000088,5000035,2040,5,12.38,5.0,58.8
9000089,5000036,2130,2,15.71,0.0,31.42
9000090,5000036,2008,1,9.09,0.0,9.09
9000091,5000037,2582,4,2.65,5.0,10.07
9000092,5000037,2027,1,9.77,0.0,9.77
9000093,5000037,3316,1,24.43,0.0,24.43
9000094,5000037,2232,3,20.87,0.0,62.66
9000095,5000038,2198,1,23.67,0.0,23.67
9000096,5000038,3127,1,23.96,5.0,22.76
9000097,5000038,3596,1,23.83,10.0,21.45
9000098,5000039,2612,1,17.21,15.0,14.63
9000099,5000039,2153,4,23.71,5.0,90.1
9000100,5000039,2075,2,2.44,5.0,4.64
9000101,5000039,2091,2,8.37,0.0,16.74
9000102,5000040,2360,1,12.24,0.0,12.24
9000103,5000040,2327,1,19.8,15.0,16.83
9000104,5000041,2253,1,11.8,25.0,8.85
9000105,5000041,2070,1,5.16,0.0,5.16
9000106,5000042,2161,4,19.19,0.0,76.76
9000107,5000042,3059,1,8.56,15.0,7.28
9000108,5000043,2253,1,11.8,10.0,10.62
9000109,5000044,2099,1,22.08,0.0,22.08
9000110,5000045,2360,4,12.24,15.0,41.62
9000111,5000045,2368,3,18.14,0.0,54.42
9000112,5000045,2184,2,2.3,0.0,4.6
9000113,5000045,2160,2,24.06,0.0,48.12
9000114,5000046,2001,1,8.98,15.0,7.63
9000115,5000046,2075,2,2.44,10.0,4.39
9000116,5000046,2266,1,9.24,25.0,6.93
9000117,5000047,3616,2,8.2,0.0,16.4
9000118,5000047,3553,1,1.33,0.0,1.33
9000119,5000047,2211,1,9.82,0.0,9.82
9000120,5000047,2201,2,5.81,5.0,11.04
9000121,5000047,2098,2,24.35,5.0,46.27
9000122,5000048,2020,1,5.44,0.0,5.44
9000123,5000048,2154,1,4.33,0.0,4.33
9000124,5000048,2064,1,14.86,0.0,14.86
9000125,5000049,2012,3,6.44,5.0,18.35
9000126,5000050,2354,6,10.62,0.0,63.72
9000127,5000051,2211,2,9.82,10.0,17.68
9000128,5000052,2246,5,8.07,5.0,38.33
9000129,5000053,2326,1,22.86,0.0,22.86
9000130,5000053,2293,2,21.13,5.0,40.15
9000131,5000054,2529,1,15.31,20.0,12.25
9000132,5000055,2278,1,1.34,10.0,1.21
9000133,5000055,2289,1,19.3,0.0,19.3
9000134,5000055,3669,2,21.84,15.0,37.13
9000135,5000055,2128,1,12.01,0.0,12.01
9000136,5000056,3806,3,10.91,15.0,27.82
9000137,5000057,2224,2,22.13,5.0,42.05
9000138,5000057,2695,2,1.96,0.0,3.92
9000139,5000058,2018,1,4.12,5.0,3.91
9000140,5000058,2975,5,21.44,0.0,107.2
9000141,5000058,3758,1,15.36,0.0,15.36
9000142,5000058,3309,1,16.2,0.0,16.2
9000143,5000058,2107,1,12.91,5.0,12.26
9000144,5000058,2198,1,23.67,5.0,22.49
9000145,5000059,2260,3,22.68,10.0,61.24
9000146,5000060,2003,1,11.34,0.0,11.34
9000147,5000061,2066,1,14.49,0.0,14.49
9000148,5000061,2009,1,14.23,0.0,14.23
9000149,5000062,2044,1,12.22,0.0,12.22
9000150,5000063,2041,2,7.91,0.0,15.82
9000151,5000063,2198,3,23.67,0.0,71.01
9000152,5000063,2319,2,7.54,10.0,13.57
9000153,5000064,2094,1,3.08,0.0,3.08
9000154,5000064,2033,3,8.41,15.0,21.45
9000155,5000064,2914,5,4.68,0.0,23.4
9000156,5000064,2839,1,15.3,0.0,15.3
9000157,5000064,2032,4,4.65,5.0,17.67
9000158,5000064,2219,6,20.27,0.0,121.62
9000159,5000065,2143,3,10.91,5.0,31.09
9000160,5000065,2109,2,10.44,5.0,19.84
9000161,5000065,2011,4,15.76,15.0,53.58
9000162,5000066,2289,1,19.3,0.0,19.3
9000163,5000067,2289,2,19.3,20.0,30.88
9000164,5000067,2214,1,8.15,5.0,7.74
9000165,5000068,2356,1,10.49,25.0,7.87
9000166,5000069,2245,2,8.66,0.0,17.32
9000167,5000069,2025,4,8.44,0.0,33.76
9000168,5000070,2152,1,21.56,20.0,17.25
9000169,5000071,2955,3,5.37,25.0,12.08
9000170,5000071,2112,1,5.99,0.0,5.99
9000171,5000072,2149,2,3.29,0.0,6.58
9000172,5000073,2366,6,8.57,0.0,51.42
9000173,5000074,2410,3,5.06,0.0,15.18
9000174,5000074,2166,1,15.81,0.0,15.81
9000175,5000075,3163,4,24.45,20.0,78.24
9000176,5000076,2289,4,19.3,0.0,77.2
9000177,5000076,2983,3,4.88,0.0,14.64
9000178,5000076,2170,6,11.68,0.0,70.08
9000179,5000076,2171,2,7.26,5.0,13.79
9000180,5000077,2257,1,1.79,0.0,1.79
9000181,5000077,3294,6,4.06,0.0,24.36
9000182,5000078,2322,1,3.85,15.0,3.27
9000183,5000078,2211,3,9.82,0.0,29.46
9000184,5000079,2153,2,23.71,5.0,45.05
9000185,5000079,2118,2,18.71,0.0,37.42
9000186,5000079,2304,2,10.3,0.0,20.6
9000187,5000079,2282,1,5.39,0.0,5.39
9000188,5000080,2151,3,15.34,0.0,46.02
9000189,5000081,3672,1,11.21,0.0,11.21
9000190,5000082,2094,2,3.08,0.0,6.16
9000191,5000082,2358,1,10.01,0.0,10.01
9000192,5000082,2010,2,1.66,15.0,2.82
9000193,5000082,2025,3,8.44,10.0,22.79
9000194,5000083,2098,1,24.35,5.0,23.13
9000195,5000084,2078,1,14.98,0.0,14.98
9000196,5000084,2222,2,18.64,5.0,35.42
9000197,5000085,3348,2,3.2,10.0,5.76
9000198,5000085,2123,5,21.4,0.0,107.0
9000199,5000085,2229,3,13.54,10.0,36.56
9000200,5000085,2214,2,8.15,20.0,13.04
9000201,5000086,2012,5,6.44,0.0,32.2
9000202,5000086,2297,1,8.15,0.0,8.15
9000203,5000086,2589,1,20.69,0.0,20.69
9000204,5000086,2109,3,10.44,0.0,31.32
9000205,5000086,3587,2,21.78,0.0,43.56
9000206,5000087,2049,4,4.13,0.0,16.52
9000207,5000088,2009,3,14.23,10.0,38.42
9000208,5000088,2132,4,14.67,5.0,55.75
9000209,5000088,2286,1,11.94,5.0,11.34
9000210,5000088,2067,2,4.67,10.0,8.41
9000211,5000088,2012,4,6.44,10.0,23.18
9000212,5000088,2251,5,9.42,10.0,42.39
9000213,5000088,2053,1,8.07,10.0,7.26
9000214,5000089,2195,2,11.63,0.0,23.26
9000215,5000089,2192,3,20.84,0.0,62.52
9000216,5000090,3733,3,4.43,0.0,13.29
9000217,5000090,2211,1,9.82,20.0,7.86
9000218,5000090,2171,1,7.26,10.0,6.53
9000219,5000090,2273,1,9.49,0.0,9.49
9000220,5000090,2064,1,14.86,0.0,14.86
9000221,5000091,2014,2,15.01,0.0,30.02
9000222,5000091,3812,1,1.94,0.0,1.94
9000223,5000091,2056,1,10.74,0.0,10.74
9000224,5000091,2356,1,10.49,10.0,9.44
9000225,5000091,2356,1,10.49,0.0,10.49
9000226,5000091,2003,5,11.34,10.0,51.03
9000227,5000091,2104,2,1.43,15.0,2.43
9000228,5000091,2144,3,6.14,0.0,18.42
9000229,5000092,2343,1,18.76,0.0,18.76
9000230,5000093,2153,2,23.71,0.0,47.42
9000231,5000093,2146,1,7.75,15.0,6.59
9000232,5000093,2267,3,3.76,0.0,11.28
9000233,5000093,2336,3,16.14,0.0,48.42
9000234,5000093,2147,1,24.36,10.0,21.92
9000235,5000094,2273,1,9.49,0.0,9.49
9000236,5000094,3525,1,24.68,0.0,24.68
9000237,5000095,2838,2,1.23,20.0,1.97
9000238,5000095,2058,1,15.75,0.0,15.75
9000239,5000095,2365,2,0.89,10.0,1.6
9000240,5000096,2309,4,15.04,0.0,60.16
9000241,5000096,2116,1,11.67,5.0,11.09
9000242,5000096,2310,1,20.48,0.0,20.48
9000243,5000097,2240,2,11.83,0.0,23.66
9000244,5000098,2720,1,4.94,20.0,3.95
9000245,5000099,2643,5,14.67,5.0,69.68
9000246,5000099,3547,1,12.1,5.0,11.49
9000247,5000100,3007,4,11.1,0.0,44.4
9000248,5000100,2154,4,4.33,0.0,17.32
9000249,5000100,2589,2,20.69,0.0,41.38
9000250,5000100,2016,2,3.11,15.0,5.29
9000251,5000100,2259,1,22.97,5.0,21.82
9000252,5000100,2192,1,20.84,0.0,20.84
9000253,5000100,2136,6,17.82,0.0,106.92
9000254,5000100,3044,2,18.52,0.0,37.04
9000255,5000100,2300,2,23.37,5.0,44.4
9000256,5000101,2289,1,19.3,0.0,19.3
9000257,5000102,2183,3,6.18,5.0,17.61
9000258,5000103,2103,2,17.14,0.0,34.28
9000259,5000104,2175,2,9.95,0.0,19.9
9000260,5000104,2306,2,9.63,5.0,18.3
9000261,5000105,3566,2,19.46,0.0,38.92
9000262,5000105,2143,3,10.91,0.0,32.73
9000263,5000106,2047,3,8.56,20.0,20.54
9000264,5000106,2266,1,9.24,0.0,9.24
9000265,5000107,3648,1,17.33,15.0,14.73
9000266,5000107,2395,1,18.49,15.0,15.72
9000267,5000107,2228,3,19.21,0.0,57.63
9000268,5000108,2283,1,16.85,5.0,16.01
9000269,5000109,2120,4,3.88,25.0,11.64
9000270,5000110,2113,1,11.65,0.0,11.65
9000271,5000111,2068,2,4.98,0.0,9.96
9000272,5000111,2014,1,15.01,0.0,15.01
9000273,5000112,2260,1,22.68,5.0,21.55
9000274,5000113,2197,2,16.06,0.0,32.12
9000275,5000113,2568,6,19.59,10.0,105.79
9000276,5000113,2218,5,5.98,10.0,26.91
9000277,5000113,2271,3,21.61,0.0,64.83
9000278,5000113,2246,3,8.07,0.0,24.21
9000279,5000113,2142,1,2.77,0.0,2.77
9000280,5000113,2367,2,24.17,0.0,48.34
9000281,5000114,2106,1,9.41,0.0,9.41
9000282,5000114,2292,2,12.8,15.0,21.76
9000283,5000114,2279,1,17.13,0.0,17.13
9000284,5000114,2309,1,15.04,0.0,15.04
9000285,5000115,2090,1,5.87,0.0,5.87
9000286,5000116,2212,1,21.38,0.0,21.38
9000287,5000117,2288,1,24.31,5.0,23.09
9000288,5000117,2303,2,21.25,0.0,42.5
9000289,5000118,2319,3,7.54,5.0,21.49
9000290,5000118,2162,3,16.04,0.0,48.12
9000291,5000119,2017,1,9.17,5.0,8.71
9000292,5000120,2272,1,18.7,0.0,18.7
9000293,5000120,2076,1,9.51,0.0,9.51
9000294,5000120,2192,1,20.84,0.0,20.84
9000295,5000121,2248,1,24.99,0.0,24.99
9000296,5000121,3742,2,13.6,5.0,25.84
9000297,5000122,3847,1,12.2,0.0,12.2
9000298,5000123,2508,2,17.75,0.0,35.5
9000299,5000124,2543,1,17.17,0.0,17.17
9000300,5000125,2202,4,1.97,20.0,6.3
9000301,5000125,2329,2,21.34,20.0,34.14
9000302,5000126,2871,3,23.21,5.0,66.15
9000303,5000126,2201,1,5.81,0.0,5.81
9000304,5000126,2264,1,13.32,0.0,13.32
9000305,5000126,2065,1,8.07,0.0,8.07
9000306,5000127,2155,1,17.81,10.0,16.03
9000307,5000128,2293,3,21.13,25.0,47.54
9000308,5000129,3395,1,13.49,0.0,13.49
9000309,5000129,2099,3,22.08,0.0,66.24
9000310,5000129,3789,5,24.27,0.0,121.35
9000311,5000129,2703,1,5.65,0.0,5.65
9000312,5000129,2549,1,14.84,5.0,14.1
9000313,5000129,3809,1,8.47,0.0,8.47
9000314,5000130,2340,2,4.52,5.0,8.59
9000315,5000131,2106,2,9.41,0.0,18.82
9000316,5000131,2102,4,16.66,0.0,66.64
9000317,5000132,2427,1,15.11,0.0,15.11
9000318,5000133,2360,1,12.24,0.0,12.24
9000319,5000133,2045,2,5.39,10.0,9.7
9000320,5000134,2342,2,14.18,5.0,26.94
9000321,5000134,2307,4,12.74,0.0,50.96
9000322,5000134,2137,1,11.88,5.0,11.29
9000323,5000135,2947,1,0.0,10.0,0.0
9000324,5000135,2198,3,23.67,0.0,71.01
9000325,5000135,2398,4,20.86,10.0,75.1
9000326,5000135,3208,3,23.08,10.0,62.32
9000327,5000135,2199,3,11.6,0.0,34.8
9000328,5000136,2029,1,11.07,0.0,11.07
9000329,5000137,2047,5,8.56,0.0,42.8
9000330,5000137,2837,4,4.98,0.0,19.92
9000331,5000138,2897,1,2.04,15.0,1.73
9000332,5000139,2340,3,4.52,0.0,13.56
9000333,5000140,2074,1,9.75,5.0,9.26
9000334,5000140,2014,4,15.01,5.0,57.04
9000335,5000140,2209,5,16.25,0.0,81.25
9000336,5000141,3258,1,22.17,15.0,18.84
9000337,5000141,2345,3,19.25,5.0,54.86
9000338,5000141,2042,2,4.67,10.0,8.41
9000339,5000141,2082,1,8.87,0.0,8.87
9000340,5000141,2360,1,12.24,0.0,12.24
9000341,5000142,2306,4,9.63,0.0,38.52
9000342,5000143,2094,3,3.08,0.0,9.24
9000343,5000143,3505,3,5.09,5.0,14.51
9000344,5000144,2152,2,21.56,0.0,43.12
9000345,5000144,2292,4,12.8,0.0,51.2
9000346,5000144,2026,1,2.94,0.0,2.94
9000347,5000144,3193,3,14.73,5.0,41.98
9000348,5000145,2194,1,24.19,0.0,24.19
9000349,5000145,2319,3,7.54,0.0,22.62
9000350,5000146,2079,1,4.27,25.0,3.2
9000351,5000146,2208,6,13.06,0.0,78.36
9000352,5000146,2118,2,18.71,15.0,31.81
9000353,5000147,2052,6,1.68,0.0,10.08
9000354,5000148,2263,1,18.09,5.0,17.19
9000355,5000148,2229,2,13.54,5.0,25.73
9000356,5000148,3770,2,21.86,0.0,43.72
9000357,5000149,2978,1,16.99,0.0,16.99
9000358,5000149,2355,2,14.11,15.0,23.99
9000359,5000149,2154,2,4.33,15.0,7.36
9000360,5000149,2338,1,19.16,25.0,14.37
9000361,5000149,2130,6,15.71,0.0,94.26
9000362,5000149,2256,2,22.67,0.0,45.34
9000363,5000150,2117,1,15.5,0.0,15.5
9000364,5000150,2051,2,4.12,0.0,8.24
9000365,5000151,2179,1,21.86,5.0,20.77
9000366,5000151,2253,1,11.8,15.0,10.03
9000367,5000151,2353,4,14.64,15.0,49.78
9000368,5000151,2154,4,4.33,0.0,17.32
9000369,5000151,2228,2,19.21,5.0,36.5
9000370,5000151,2025,3,8.44,10.0,22.79
9000371,5000151,2234,2,2.36,5.0,4.48
9000372,5000151,2199,1,11.6,0.0,11.6
9000373,5000152,3571,2,24.21,10.0,43.58
9000374,5000153,2230,3,11.18,0.0,33.54
9000375,5000154,2247,6,12.95,5.0,73.81
9000376,5000154,2301,2,22.03,10.0,39.65
9000377,5000154,3140,2,7.95,10.0,14.31
9000378,5000154,2305,4,19.22,0.0,76.88
9000379,5000154,2044,2,12.22,0.0,24.44
9000380,5000154,2367,2,24.17,15.0,41.14
9000381,5000155,2244,2,2.1,0.0,4.2
9000382,5000156,2222,2,18.64,0.0,37.28
9000383,5000156,2864,1,7.52,0.0,7.52
9000384,5000156,2192,1,20.84,0.0,20.84
9000385,5000156,2306,5,9.63,10.0,43.34
9000386,5000156,2269,1,5.43,20.0,4.34
9000387,5000156,2009,1,14.23,0.0,14.23
9000388,5000157,3064,2,20.88,5.0,39.67
9000389,5000157,2086,1,8.74,15.0,7.43
9000390,5000157,3091,1,20.26,0.0,20.26
9000391,5000158,2085,5,5.25,0.0,26.25
9000392,5000158,2108,3,10.79,0.0,32.37
9000393,5000158,2162,1,16.04,5.0,15.24
9000394,5000158,2255,1,17.92,5.0,17.02
9000395,5000158,2529,6,15.31,0.0,91.86
9000396,5000159,2078,1,14.98,10.0,13.48
9000397,5000159,2244,1,2.1,0.0,2.1
9000398,5000160,2295,4,16.22,0.0,64.88
9000399,5000161,2062,2,7.41,0.0,14.82
9000400,5000161,2085,1,5.25,0.0,5.25
9000401,5000162,2053,1,8.07,0.0,8.07
9000402,5000162,2237,3,21.66,0.0,64.98
9000403,5000163,2007,2,2.51,5.0,4.77
9000404,5000163,2190,1,22.62,0.0,22.62
9000405,5000163,2101,1,20.5,0.0,20.5
9000406,5000164,2106,4,9.41,0.0,37.64
9000407,5000164,2057,1,13.89,0.0,13.89
9000408,5000164,2338,1,19.16,0.0,19.16
9000409,5000165,2253,2,11.8,0.0,23.6
9000410,5000166,2352,3,6.23,5.0,17.76
9000411,5000166,2066,1,14.49,5.0,13.77
9000412,5000167,2921,1,0.88,10.0,0.79
9000413,5000167,2181,1,8.44,10.0,7.6
9000414,5000168,2153,1,23.71,10.0,21.34
9000415,5000168,3372,2,14.27,0.0,28.54
9000416,5000168,3019,1,12.65,15.0,10.75
9000417,5000168,2365,3,0.89,0.0,2.67
9000418,5000169,2230,1,11.18,0.0,11.18
9000419,5000169,3577,1,7.12,5.0,6.76
9000420,5000169,2549,3,14.84,0.0,44.52
9000421,5000170,2253,1,11.8,0.0,11.8
9000422,5000170,2424,2,11.51,0.0,23.02
9000423,5000171,2331,4,4.79,5.0,18.2
9000424,5000171,2167,2,3.46,15.0,5.88
9000425,5000171,2166,3,15.81,10.0,42.69
9000426,5000172,3690,1,16.47,5.0,15.65
9000427,5000172,2124,2,12.45,0.0,24.9
9000428,5000172,2072,2,1.36,0.0,2.72
9000429,5000172,2248,1,24.99,0.0,24.99
9000430,5000172,2114,4,6.47,20.0,20.7
9000431,5000173,2026,5,2.94,10.0,13.23
9000432,5000174,3771,1,17.2,0.0,17.2
9000433,5000175,2215,3,2.77,0.0,8.31
9000434,5000175,3258,3,22.17,10.0,59.86
9000435,5000175,2825,3,19.49,0.0,58.47
9000436,5000175,2187,2,14.36,0.0,28.72
9000437,5000175,2280,3,10.24,0.0,30.72
9000438,5000175,2576,3,3.26,10.0,8.8
9000439,5000176,2108,3,10.79,0.0,32.37
9000440,5000177,2334,2,6.9,0.0,13.8
9000441,5000177,2267,1,3.76,0.0,3.76
9000442,5000178,2347,4,24.81,5.0,94.28
9000443,5000178,2254,2,20.12,20.0,32.19
9000444,5000179,2275,2,8.0,5.0,15.2
9000445,5000180,2291,1,6.63,0.0,6.63
9000446,5000181,2372,1,13.62,0.0,13.62
9000447,5000181,2029,2,11.07,10.0,19.93
9000448,5000181,2180,4,11.12,0.0,44.48
9000449,5000182,2336,1,16.14,0.0,16.14
9000450,5000182,2267,3,3.76,0.0,11.28
9000451,5000182,2003,2,11.34,0.0,22.68
9000452,5000183,2499,2,9.76,10.0,17.57
9000453,5000183,3599,1,8.76,5.0,8.32
9000454,5000183,2023,3,4.64,0.0,13.92
9000455,5000184,2040,3,12.38,0.0,37.14
9000456,5000185,2339,3,2.4,0.0,7.2
9000457,5000186,3597,2,14.52,5.0,27.59
9000458,5000186,2094,1,3.08,5.0,2.93
9000459,5000187,2366,3,8.57,0.0,25.71
9000460,5000187,2094,1,3.08,0.0,3.08
9000461,5000187,2370,1,2.16,0.0,2.16
9000462,5000187,2134,1,20.0,0.0,20.0
9000463,5000187,2322,1,3.85,20.0,3.08
9000464,5000187,2365,5,0.89,0.0,4.45
9000465,5000188,2420,4,19.99,10.0,71.96
9000466,5000188,2300,5,23.37,5.0,111.01
9000467,5000189,2108,1,10.79,0.0,10.79
9000468,5000189,2248,2,24.99,0.0,49.98
9000469,5000189,2037,1,0.89,0.0,0.89
9000470,5000189,3533,5,7.61,20.0,30.44
9000471,5000189,2131,3,19.28,15.0,49.16
9000472,5000189,2294,1,16.44,0.0,16.44
9000473,5000189,2344,1,23.39,0.0,23.39
9000474,5000189,3244,3,6.32,20.0,15.17
9000475,5000190,2105,1,9.93,0.0,9.93
9000476,5000190,3422,3,1.07,5.0,3.05
9000477,5000190,2230,2,11.18,0.0,22.36
9000478,5000191,2291,1,6.63,0.0,6.63
9000479,5000192,2175,1,9.95,15.0,8.46
9000480,5000192,2343,2,18.76,15.0,31.89
9000481,5000192,2222,1,18.64,5.0,17.71
9000482,5000192,2065,1,8.07,0.0,8.07
9000483,5000193,2300,1,23.37,15.0,19.86
9000484,5000193,2067,2,4.67,15.0,7.94
9000485,5000193,2131,1,19.28,5.0,18.32
9000486,5000194,2200,1,22.18,15.0,18.85
9000487,5000194,2252,1,8.07,0.0,8.07
9000488,5000194,2339,1,2.4,0.0,2.4
9000489,5000194,2181,4,8.44,5.0,32.07
9000490,5000194,2269,1,5.43,10.0,4.89
9000491,5000195,2266,2,9.24,0.0,18.48
9000492,5000195,2021,4,14.21,0.0,56.84
9000493,5000195,2124,3,12.45,5.0,35.48
9000494,5000195,2325,4,8.36,0.0,33.44
9000495,5000195,2197,2,16.06,5.0,30.51
9000496,5000195,2098,1,24.35,15.0,20.7
9000497,5000195,2036,1,14.73,0.0,14.73
9000498,5000195,2049,2,4.13,10.0,7.43
9000499,5000196,2301,1,22.03,20.0,17.62
9000500,5000196,2053,5,8.07,0.0,40.35
9000501,5000196,2017,1,9.17,10.0,8.25
9000502,5000196,2306,2,9.63,0.0,19.29
9000503,5000196,2199,1,11.6,0.0,11.6
9000504,5000197,2014,1,15.01,0.0,15.01
9000505,5000198,2598,1,21.99,20.0,17.59
9000506,5000198,2361,1,24.06,0.0,24.06
9000507,5000199,2030,3,12.43,0.0,37.29
9000508,5000199,2256,1,22.67,0.0,22.67
9000509,5000199,2214,4,8.15,0.0,32.6
9000510,5000199,2349,5,6.55,0.0,32.75
9000511,5000199,2279,2,17.13,0.0,34.26
9000512,5000200,2018,2,4.12,0.0,8.24
9000513,5000200,3475,3,13.18,15.0,33.61
9000514,5000201,2301,1,22.03,5.0,20.93
9000515,5000202,2522,2,21.48,10.0,38.66
9000516,5000203,2024,5,6.74,10.0,30.33
9000517,5000203,2169,6,12.7,0.0,76.2
9000518,5000204,2087,3,5.2,5.0,14.82
9000519,5000204,2060,6,3.54,10.0,19.12
9000520,5000204,3063,2,18.52,0.0,37.04
9000521,5000205,2200,1,22.18,0.0,22.18
9000522,5000206,2287,2,24.98,5.0,47.46
9000523,5000206,2352,2,6.23,0.0,12.46
9000524,5000207,2337,1,11.64,0.0,11.64
9000525,5000208,2088,1,2.37,15.0,2.01
9000526,5000208,2076,1,9.51,10.0,8.56
9000527,5000208,2249,3,16.71,0.0,50.13
9000528,5000209,2275,4,8.0,5.0,30.4
9000529,5000209,2212,1,21.38,0.0,21.38
9000530,5000209,3546,1,3.3,0.0,3.3
9000531,5000210,2199,2,11.6,0.0,23.2
9000532,5000210,3036,5,23.72,0.0,118.6
9000533,5000211,2285,1,24.63,10.0,22.17
9000534,5000211,2018,2,4.12,0.0,8.24
9000535,5000211,2127,1,5.68,0.0,5.68
9000536,5000211,2033,1,8.41,10.0,7.57
9000537,5000211,2019,4,6.77,0.0,27.08
9000538,5000212,2267,1,3.76,5.0,3.57
9000539,5000212,2281,2,22.87,0.0,45.74
9000540,5000213,2036,1,14.73,0.0,14.73
9000541,5000213,2267,1,3.76,5.0,3.57
9000542,5000213,2340,1,4.52,0.0,4.52
9000543,5000213,2123,3,21.4,0.0,64.2
9000544,5000213,2054,3,9.46,20.0,22.7
9000545,5000213,2280,2,10.24,0.0,20.48
9000546,5000214,2335,1,10.42,0.0,10.42
9000547,5000214,2047,1,8.56,0.0,8.56
9000548,5000214,2027,2,9.77,0.0,19.54
9000549,5000214,2296,1,2.28,0.0,2.28
9000550,5000215,2114,1,6.47,15.0,5.5
9000551,5000215,2072,2,1.36,0.0,2.72
9000552,5000216,2014,2,15.01,0.0,30.02
9000553,5000216,2043,3,15.44,0.0,46.32
9000554,5000216,2030,1,12.43,0.0,12.43
9000555,5000217,3069,3,13.0,5.0,37.05
9000556,5000217,2128,1,12.01,5.0,11.41
